BARDID,VesselID,RegistrationNumber,VesselEvent1,VesselEvent2,VesselEvent3,OtherVesselEvent,VesselCause1,VesselCause2,VesselCause3,OtherVesselCause,VesselEquipmentFailure,OtherEquipmentFailure,VesselMachineryFailure,OtherMachineryFailure,OperatorGender,OperatorAge,OperatorExperience,OperatorOtherEducation,OperatorEducation,OperatorPFDWorn,OperatorUsingAlcohol,OperatorUsingDrugs,WeatherReportsConsulted,InternetTrainingOrganization,EngineCutOffSwitchUsed,OWIArrest,BAC,DocumentNumber,HistoricalCodingVesselType,VesselType,OtherVesselType,Length,EngineType,OtherEngineType,HullMaterial,OtherHullMaterial,FuelType,Propulsion,Operation,OtherOperation,Activity,OtherActivity,RentedBoat,Manufacturer,Model,HIN,EngineManufacturer,VesselName,NumberofEngines,Horsepower,BeamWidth,DepthinFeet,DepthinInches,ModelYear,NumberBoatingCitations,VesselaCompleteLoss,NumberPeopleOnboard,NumberPeopleTowed,NumberPeopleWearingLifeJackets,NumberLifeJacketsOnboard,NumberFireExtOnboard,NumberFireExtUsed,DamagetoVessel,VesselDamageDescription,DamagetoNonVesselProperty,NonVesselPropertyDamageDescription,AmountFireExtUsed,FireExtType,NumberDeaths,NumberInjured
FL-2023-0154,2,FL8254TC,Collision with recreational vessel,Person struck by vessel,Person ejected from vessel,,Navigation rules violation,,,,,,,,-1,40,10 to 100 hours,,No education,Y,N,,,,,,,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,0,YAMAHA MOTOR CORP US,,YAMA0843K122,,,1,180,,,,2022,,,1,0,,,,0,10000.0,,,,,,1.0,0.0
FL-2023-0155,1,FL2504TA,Collision with fixed object,,,,Missing or inadequate navigation aids,,,,,,,,-1,55,101 to 500 hours,,Unknown, ,,,,,,0,,,,Open motorboat,,20,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,BOSTON WHALER INC,,BWCE1433C515,,,1,200,,,,2015,,,2,0,,,,0,40000.0,,,,,,0.0,0.0
FL-2023-0156,1,FL2264FV,Flooding/swamping,Sinking,Person ejected from vessel,,Hazardous waters,,,,,,,,-1,29,101 to 500 hours,,Unknown,N,N,,,,,0,,,,Open motorboat,,14,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Fishing,,0,RANDALL CRAFT INC,,ESN152250686,,,1,85,,,,1986,,,2,0,,,,0,0.0,,,,,,1.0,1.0
FL-2023-0157,1,FL9513TL,Collision with recreational vessel,,,,Operator inexperience,Excessive speed,,,,,,,-1,22,Under 10 hours,,No education,Y,,,,,,0,,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,-1,BOMBARDIER RECREATIO,,YDV90674E222,,,1,90,,,,2022,,,1,0,,,,0,7000.0,,,,,,0.0,0.0
FL-2023-0157,2,FL9499TL,Collision with recreational vessel,,,,Operator inexperience,Excessive speed,,,,,,,-1,22,10 to 100 hours,,No education,Y,,,,,,0,,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,-1,BOMBARDIER RECREATIO,,YDV90642E222,,,1,90,,,,2022,,,1,0,,,,0,2000.0,,,,,,0.0,0.0
FL-2023-0158,1,FL6373NF,Fire/explosion (fuel),Flooding/swamping,Person departed vessel,,Machinery failure,,,,,,Engine,,-1,28,10 to 100 hours,,State, ,,,,,,0,,,,Cabin motorboat,,47,Inboard,,Fiberglass,,Diesel,Propeller,Cruising,,Boating/relaxation,,0,BAYLINER,,BVKA11EVH798,,JOIE DE VIVRE,1,,,,,1998,,,4,0,,,,0,2001.0,,,,,,0.0,0.0
FL-2023-0159,1,FL1831RB,Collision with fixed object,,,,Improper lookout,Equipment failure,,,Auxiliary,,,,-1,66,101 to 500 hours,,State, ,,,,,,0,,,,Cabin motorboat,,25,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,LARSON BOATS LLC,,IJS11197C515,,,2,400,,,,2015,,,2,0,,,,0,15000.0,,15000.0,,,,0.0,0.0
FL-2023-0160,1,FL6283NL,Flooding/swamping,Sinking,,,Equipment failure,,,,Auxiliary,,,,-1,37,10 to 100 hours,,No education,Y,,,,,,0,,,,Open motorboat,,17,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Fishing,,0,AVANTI MARINE USA IN,,AVV17006K607,,,1,115,,,,2007,,,4,0,,,,0,10000.0,,,,,,0.0,0.0
FL-2023-0161,1,,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,,,No operator,,No operator,,,,,,,,,,,Cabin motorboat,,73,Inboard,,Steel,,Diesel,Propeller,Tied to dock/mooring,,None; not in use,,0,UNK,,,,Private Joke,,,,,,,,,,0,,,,0,24000.0,,,,,,0.0,0.0
FL-2023-0162,1,FL6054DB,Flooding/swamping,Sinking,Person ejected from vessel,,Hull failure,,,,,,,,-1,53,Unknown,,Unknown,N,N,,,,,,,,,Open motorboat,,13,Outboard,,Fiberglass,,Gas,Propeller,Changing direction,,Fishing,,0,RANDALL CRAFT INC,,ESN14101A686,,,1,70,,,,1986,,,2,0,,,,0,0.0,,,,,,1.0,0.0
FL-2023-0163,1,FL5653NZ,Collision with fixed object,,,,Operator inexperience,,,,,,,,-1,63,10 to 100 hours,,Unknown, ,,,,,,0,,,,Open motorboat,,29,Outboard,,Fiberglass,,Gas,Propeller,Docking/undocking,,Boating/relaxation,,-1,PRO LINE,,PLCMJ027A808,,,2,500,,,,2008,,,3,0,,,,0,2000.0,,6000.0,,,,0.0,0.0
FL-2023-0164,1,FL0976TJ,Grounding,Fall in vessel,,,Congested waters,Force of wake/wave,,,,,,,-1,16,10 to 100 hours,,State,Y,,,,,,0,,,,Open motorboat,,20,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Boating/relaxation,,0,BASS CATS BOATS,,BASB1092D717,,,1,250,,,,2017,,,2,0,,,,0,500.0,,,,,,0.0,1.0
FL-2023-0165,1,FL0021TF,Skier mishap,,,,Operator inexperience,,,,,,,,-1,26,101 to 500 hours,,No education, ,,,,,,0,,,,Open motorboat,,22,Outboard,,Fiberglass,,Gas,Propeller,Changing speed,,Towed watersports,,0,HURRICANE,,GDY65325B222,,,1,115,,,,2022,,,1,2,,,,0,0.0,,,,,,0.0,2.0
FL-2023-0166,1,FL5175KP,Collision with fixed object,Flooding/swamping,Sinking,,Operator inattention,Alcohol,,,,,,,-1,19,101 to 500 hours,,State, ,,,,,,0,,,,Open motorboat,,20,Sterndrive,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,WELLCRAF,,XLDAFA24D898,,,1,,,,,1998,,,2,0,,,,0,2500.0,,,,,,0.0,0.0
FL-2023-0167,1,DO1308230,Grounding,Flooding/swamping,Sinking,,Improper lookout,,,,,,,,-1,28,101 to 500 hours,,Unknown,Y,,,,,,0,,,,Cabin motorboat,,53,Inboard,,Fiberglass,,Diesel,Propeller,Cruising,,Boating/relaxation,,0,CREEKMORE BOATS INC,,RACB5006B020,,SAMANTHA,2,740,,,,2020,,,7,0,,,,0,500000.0,,,,,,0.0,0.0
FL-2023-0168,1,FL5562PY,Collision with recreational vessel,Person ejected from vessel,,,Improper lookout,,,,,,,,-1,17,Under 10 hours,,State,Y,,,,,,0,,,,Personal watercraft,,10,Inboard,,Fiberglass,,Gas,Water jet,Changing direction,,Boating/relaxation,,0,YAMAHA MOTOR CORP US,,USYAMA2444F515,,,1,110,,,,2015,,,2,0,,,,0,2000.0,,,,,,0.0,0.0
FL-2023-0168,2,FL2049ST,Vessel struck by another vessel,,,,Operator inattention,,,,,,,,-1,18,Under 10 hours,,State, ,,,,,,0,,,,Open motorboat,,24,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Boating/relaxation,,0,XPRESS BOAT CO/VERAN,,JBC99677B020,,,1,200,,,,2020,,,4,0,,,,0,2000.0,,,,,,0.0,0.0
FL-2023-0169,1,FL3639TL,Collision with recreational vessel,Flooding/swamping,Capsizing,,Improper lookout,,,,,,,,0,35,10 to 100 hours,,No education,Y,,,,,,,,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Changing direction,,Racing,,0,SEADOO,,YDV68822F515,,,1,90,,,,2015,,,1,0,,,,0,6399.0,,,,,,0.0,0.0
FL-2023-0169,2,FL3635TL,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,-1,38,10 to 100 hours,,No education, ,,,,,,0,,,,Personal watercraft,,10,Inboard,,Fiberglass,,Gas,Water jet,Drifting,,Racing,,0,BOMBARDIER CORP,,YDV61906L415,,,1,90,,,,2015,,,1,0,,,,0,100.0,,,,,,0.0,0.0
FL-2023-0170,1,FL9185GL,Falls overboard,,,,Improper loading,,,,,,,,,,No operator,,No operator,,,,,,,,,,,Auxiliary sail,,22,Unknown,,Fiberglass,,Gas,Propeller,At anchor,,Boating/relaxation,,0,WELLCRAFT MARINE COR,,WEL50084J485,,,,,,,,1984,,,1,0,,,,0,0.0,,,,,,1.0,0.0
FL-2023-0171,1,IA5643BW,Collision with recreational vessel,Flooding/swamping,Sinking,,Improper lookout,,,,,,,,-1,46,101 to 500 hours,,Unknown, ,N,,,,,,,,,Open motorboat,,42,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,DONZI,,,,,4,,,,,1999,,,7,0,,,,0,0.0,,,,,,0.0,3.0
FL-2023-0171,2,,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,,,No operator,,No operator,,,,,,,,,,,Unknown,,,Unknown,,Unknown,,Unknown,Unknown,At anchor,,None; not in use,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
FL-2023-0172,1,FL9956SS,Collision with recreational vessel,,,,Operator inexperience,,,,,,,,0,60,Under 10 hours,,No education, ,,,,,,0,,,,Open motorboat,,21,Outboard,,Fiberglass,,Gas,Propeller,Changing direction,,Boating/relaxation,,0,ROBALO BOATS LLC,,ROBL0120H920,,,1,150,,,,2020,,,1,0,,,,0,0.0,,,,,,0.0,0.0
FL-2023-0172,2,FL6188NG,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,,,No operator,,No operator,,,,,,,,,,,Cabin motorboat,,38,Outboard,,Unknown,,Gas,Propeller,Tied to dock/mooring,,None; not in use,,,Intrepid,,IBW37197F607,,,2,500,,,,2007,,,0,0,,,,,4500.0,,,,,,0.0,0.0
FL-2023-0173,1,FL0577MV,Fire/explosion (fuel),Flooding/swamping,Sinking,,Unknown,,,,,,,,,,No operator,,No operator, ,,,,,,,,,,Auxiliary sail,,30,Inboard,,Fiberglass,,Diesel,Propeller,At anchor,,None; not in use,,0,MORGAN YACHT CORP,,569608,,,,,,,,1971,,,,0,,,,0,10000.0,,,,,,0.0,0.0
FL-2023-0174,1,FL2923TM,Collision with recreational vessel,,,,Operator inexperience,,,,,,,,0,35,Under 10 hours,,No education, ,,,,,,0,,,,Open motorboat,,19,Unknown,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,-1,SCOUT BOATS,,SLPYW530K223,,,,,,,,2023,,,1,0,,,,0,5000.0,,,,,,0.0,0.0
FL-2023-0174,2,FL8271TB,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,,,No operator,,No operator,,,,,,,,,,,Cabin motorboat,,23,Outboard,,Fiberglass,,Gas,Propeller,Tied to dock/mooring,,None; not in use,,,Grady White,,NTLCX209B494,,,2,300,,,,1994,,,,,,,,,5000.0,,,,,,0.0,0.0
FL-2023-0175,1,FL9746RB,Grounding,,,,Operator inattention,Improper lookout,,,,,,,-1,29,101 to 500 hours,,State,Y,,,,,,0,,,,Open motorboat,,21,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,ROBALO BOATS LLC,,ROBW0226A616,,,1,,,,,2016,,,7,0,,,,0,2000.0,,,,,,0.0,0.0
FL-2023-0177,1,FL7087MM,Collision with recreational vessel,,,,Improper lookout,,,,,,,,-1,49,101 to 500 hours,,No education, ,,,,,,0,,,,Open motorboat,,18,Outboard,,Fiberglass,,Gas,Propeller,Changing speed,,Boating/relaxation,,0,MARITEC INDUSTRIES I,,SOEBD023H304,,,1,115,,,,2004,,,2,0,,,,0,2500.0,,,,,,0.0,0.0
FL-2023-0177,2,FL1952TM,Collision with recreational vessel,,,,Congested waters,,,,,,,,-1,61,101 to 500 hours,,Unknown, ,,,,,,0,,,,Open motorboat,,21,Outboard,,Fiberglass,,Gas,Propeller,Changing speed,,Boating/relaxation,,0,PAIR MARINE INC,,SOX21177B323,,,1,200,,,,2023,,,2,0,,,,0,0.0,,,,,,0.0,0.0
FL-2023-0178,1,FL7045TA,Person ejected from vessel,,,,Operator inexperience,,,,,,,,-1,,Under 10 hours,,State,Y,,,,,,,,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Changing direction,,Boating/relaxation,,-1,YAMAHA MOTOR CORP US,,USYAMA0453F121,,,1,,,,,2021,,,2,0,,,,0,0.0,,,,,,0.0,1.0
FL-2023-0179,1,FL7415SL,Collision with recreational vessel,,,,Navigation rules violation,,,,,,,,,,Unknown,,Unknown, ,,,,,,,,,,Open motorboat,,20,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,-1,NAUTIC STAR LLC,,JNT31164D919,,,1,115,,,,2019,,,9,0,,,,0,0.0,,,,,,0.0,0.0
FL-2023-0179,2,FL9219NC,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,-1,52,10 to 100 hours,,No education, ,,,,,,0,,,,Open motorboat,,22,Outboard,,Fiberglass,Other,Gas,Propeller,Cruising,,Boating/relaxation,,0,TRIUMPH BOATS,,TRBJ0246A606,,,1,150,,,,2006,,,1,0,,,,0,4000.0,,,,,,0.0,0.0
FL-2023-0180,1,FL9334ML,Person ejected from vessel,Person struck by propeller,,,Operator inattention,Force of wake/wave,Sharp turn,,,,,,-1,18,101 to 500 hours,,State, ,,,,,,0,,,,Open motorboat,,17,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,BAY CRAFT BOAT CO,,BYE45976A404,,,1,90,,,,2004,,,6,0,,,,0,0.0,,,,,,0.0,1.0
FL-2023-0181,1,FL3467DY,Collision with recreational vessel,,,,Operator inexperience,,,,,,,,0,52,Under 10 hours,,Unknown, ,,,,,,0,,,,Auxiliary sail,,30,Inboard,,Fiberglass,,Diesel,Propeller,Docking/undocking,,Boating/relaxation,,0,HUNTER,,HUN71067M81H,,,,,,,,1981,,,2,0,,,,0,0.0,,,,,,0.0,0.0
FL-2023-0181,2,,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,,,No operator,,No operator,,,,,,,,,DO657944,,Cabin motorboat,,36,Inboard,,Fiberglass,,Diesel,Propeller,Tied to dock/mooring,,None; not in use,,,HATTERAS YACHTS INC,,,,,,,,,,1969,,,0,0,,,,,36500.0,,,,,,0.0,0.0
FL-2023-0182,1,FL6168TJ,Capsizing,Person ejected from vessel,,,Excessive speed,Sharp turn,,,,,,,-1,24,101 to 500 hours,,State,Y,,,,,,0,,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Changing direction,,Boating/relaxation,,-1,YAMAHA MOTOR CORP US,,YAMA0478H222,,,1,90,,,,2022,,,3,0,,,,0,0.0,,,,,,0.0,1.0
FL-2023-0183,1,FL2379FS,Flooding/swamping,Capsizing,Person ejected from vessel,,Hazardous waters,,,,,,,,-1,39,10 to 100 hours,,No education, ,,,,,,0,,,,Open motorboat,,19,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,SKI BARG,,SKB90017I687,,,1,,,,,1987,,,3,0,,,,0,10000.0,,,,,,0.0,0.0
FL-2023-0184,1,01820802,Collision with fixed object,,,,Starting in gear,Operator inattention,,,,,,,-1,69,101 to 500 hours,,No education, ,,,,,,0,,,,Open motorboat,,78,Inboard,,Fiberglass,,Diesel,Propeller,Tied to dock/mooring,,Fueling,,0,CHEOY LEE SHIPYARD L,,CHL04722B999,,MARVELOUS (KELLY ANNE),2,3000,,,,1999,,,1,0,,,,0,4500.0,,18000.0,,,,0.0,0.0
FL-2023-0185,1,FL4347SN,Falls overboard,,,,Unknown,,,,,,,,-1,23,10 to 100 hours,,No education,N,N,,,,,,,,,Personal watercraft,,10,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,0,YAMAHA MOTOR CORP US,,YAMA29261920,,,1,,,,,2020,,,1,0,,,,0,0.0,,,,,,1.0,0.0
FL-2023-0186,1,DO1033606,Collision with submerged object,Flooding/swamping,,,Operator inattention,Equipment failure,,,Auxiliary,,,,-1,70,101 to 500 hours,,Unknown,Y,,,,,,0,,,,Cabin motorboat,,32,Inboard,,Fiberglass,,Diesel,Propeller,Cruising,,Boating/relaxation,,0,CARVER,,CDRN9053D595,,NAUTI FRAN,2,,,,,1995,,,2,0,,,,0,25000.0,,,,,,0.0,0.0
FL-2023-0187,1,FL4823TN,Collision with fixed object,Person ejected from vessel,,,Operator inexperience,,,,,,,,0,45,Under 10 hours,,State, ,N,,,,,0,,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,0,YAMAHA MOTOR CORP US,,YAMA1435E323,,,1,,,,,2023,,,1,0,,,,0,1000.0,,,,,,0.0,1.0
FL-2023-0188,1,FL5107KD,Collision with fixed object,Capsizing,Person ejected from vessel,,Machinery failure,Force of wake/wave,,,,,Engine,,-1,70,101 to 500 hours,,No education, ,,,,,,0,,,,Open motorboat,,15,Outboard,,Fiberglass,,Gas,Propeller,Drifting,,Starting engine,,0,ROTEX,,RCE15606D497,,,1,90,,,,1997,,,2,0,,,,0,8000.0,,,,,,0.0,0.0
FL-2023-0189,1,FL2476TB,Falls overboard,Person struck by propeller,,,"People on gunwale, bow, or transom",,,,,,,,-1,48,10 to 100 hours,,No education, ,,,,,,,,,,Pontoon,,20,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Boating/relaxation,,-1,BENTLEY ACQUISITION,,BAG05923G122,,,1,115,,,,2022,,,9,0,,,,0,0.0,,,,,,0.0,1.0
FL-2023-0190,1,FL0469PG,Fire/explosion (non-fuel),Flooding/swamping,Person departed vessel,,Machinery failure,,,,,,Engine,,-1,45,10 to 100 hours,,No education,Y,,,,,,0,,,,Open motorboat,,17,Sterndrive,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,LARSON,,LAR79654H506,,,1,150,,,,2006,,,1,0,,,,1,5000.0,,,,,,0.0,0.0
FL-2023-0191,1,FL4113SN,Grounding,,,,Improper lookout,Operator inexperience,Operator inattention,,,,,,-1,22,Under 10 hours,,State, ,,,,,,0,,,,Cabin motorboat,,37,Inboard,,Fiberglass,,Diesel,Propeller,Cruising,,Boating/relaxation,,0,CHAPARRAL BOATS INC,,FGBJ0395A606,,SCHIPPY.,2,750,,,,2006,,,22,0,,,,0,5000.0,,,,,,0.0,0.0
FL-2023-0192,1,FL1506RN,Collision with submerged object,Flooding/swamping,Flooding/swamping,,Hazardous waters,,,,,,,,-1,35,101 to 500 hours,,No education,Y,,,,,,0,,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,0,BRP QUERETARO,,YDV32698I718,,,1,230,,,,2018,,,1,0,,,,0,3000.0,,,,,,0.0,0.0
FL-2023-0194,1,FL3525SR,Falls overboard,Collision with fixed object,,,Operator inexperience,Force of wake/wave,,,,,,,-1,16,101 to 500 hours,,State, ,N,,,,,0,,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,0,BOMBARDIER LTD,,YDV27898K920,,,1,80,,,,2020,,,1,0,,,,0,16000.0,,,,,,0.0,1.0
FL-2023-0195,1,,Falls overboard,,,,Weather,,,,,,,,-1,44,10 to 100 hours,,No education, ,N,,,,,0,,,,Kayak,,12,No engine,,Plastic,,No fuel,Manual,Rowing/paddling,,Boating/relaxation,,0,OCEAN KAYAK,,UNKNOWN,,,0,0,,,,2008,,,2,0,,,,0,0.0,,,,,,1.0,1.0
FL-2023-0196,1,FL3308PW,Person struck by propeller,,,,Operator inattention,,,,,,,,-1,58,101 to 500 hours,,No education, ,,,,,,0,,,,Open motorboat,,21,Outboard,,Fiberglass,,Gas,Propeller,Drifting,,Towed watersports,,0,DYNASTY INTERNATIONA,,MJIA9441L506,,,,,,,,2006,,,4,1,,,,0,0.0,,,,,,0.0,1.0
FL-2023-0197,1,FL2136LM,Grounding,,,,Operator inattention,Force of wake/wave,,,,,,,-1,46,Unknown,,Unknown, ,,,,,,,,,,Open motorboat,,20,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,MARINE MANUFACTURING,,MUS06866E000,,,1,175,,,,2000,,,1,0,,,,0,4000.0,,,,,,0.0,0.0
FL-2023-0198,1,FL5786TF,Grounding,,,,Improper lookout,Excessive speed,,,,,,,-1,44,10 to 100 hours,,No education, ,,,,,,0,,,,Open motorboat,,21,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Boating/relaxation,,-1,BENNINGTON MARINE CO,,ETWM3821D222,,ALWAYS TOONED UP,1,,,,,2022,,,2,0,,,,0,10000.0,,,,,,0.0,0.0
FL-2023-0199,1,UNK,Collision with recreational vessel,,,,Excessive speed,,,,,,,,,,Unknown,,Unknown, ,,,,,,,,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,0,UNK,,UNK,,,1,,,,,,,,1,0,,,,0,0.0,,,,,,0.0,0.0
FL-2023-0199,2,FL9288TK,Collision with recreational vessel,,,,Improper lookout,Operator inattention,,,,,,,-1,27,Under 10 hours,,State,Y,,,,,,0,,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Changing speed,,Boating/relaxation,,-1,BOMBARDIER RECREATIO,,YDV49613A222,,,1,130,,,,2022,,,1,0,,,,0,2500.0,,,,,,0.0,0.0
FL-2023-0200,1,,Collision with recreational vessel,,,,Operator inattention,,,,,,,,,,Unknown,,Unknown,,,,,,,,,663653,,Auxiliary sail,,44,Unknown,,Fiberglass,,Unknown,Propeller,Docking/undocking,,Boating/relaxation,,0,Gulfstar,,GFS44072M83G,,CARDUFF,,,,,,1983,,,1,0,,,,0,0.0,,,,,,0.0,0.0
FL-2023-0200,2,,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,,,No operator,,No operator,,,,,,,,,1311830,,Auxiliary sail,,50,Unknown,,Fiberglass,,Gas,Propeller,Tied to dock/mooring,,None; not in use,,,LEOPARD,,RACB4074H021,,WINEKNOT,,,,,,2020,,,,,,,,,2000.0,,,,,,0.0,0.0
FL-2023-0201,1,FL0545MC,Collision with fixed object,Capsizing,,,Alcohol,,,,,,,,-1,54,101 to 500 hours,,No education, ,Y,,,,,-1,,,,Open motorboat,,23,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,GLASSTREAM MARINE,,GDJ00115C002,,,1,300,,,,2002,,,3,0,,,,0,20000.0,,,,,,0.0,1.0
FL-2023-0202,1,FL4116TK,Collision with recreational vessel,Person ejected from vessel,,,Operator inattention,Excessive speed,,,,,,,0,18,Under 10 hours,,No education, ,N,,,,,0,,,,Personal watercraft,,10,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,0,YAMAHA MOTOR CO LTD,,YAMA0057J223,,N/A,1,110,,,,2023,,,1,0,,,,0,2000.0,,,,,,0.0,1.0
FL-2023-0202,2,FL4117TK,Collision with recreational vessel,Person struck by vessel,Person ejected from vessel,,Operator inexperience,,,,,,,,0,34,Under 10 hours,,No education, ,N,,,,,0,,,,Personal watercraft,,10,Inboard,,Fiberglass,,Gas,Water jet,Changing speed,,Boating/relaxation,,0,YAMAHA MOTOR CO LTD,,YAMA0053J223,,N/A,1,110,,,,2023,,,1,0,,,,0,3000.0,,,,,,0.0,1.0
FL-2023-0203,1,FL9515TL,Collision with recreational vessel,,,,Operator inattention,Excessive speed,,,,,,,0,46,10 to 100 hours,,No education,Y,,,,,,0,,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Changing direction,,Boating/relaxation,,-1,BOMBARDIER RECREATIO,,YDVA2144E222,,,1,90,,,,2022,,,1,0,,,,0,1200.0,,,,,,0.0,0.0
FL-2023-0203,2,FL4718ST,Vessel struck by another vessel,,,,None; not at fault,,,,,,,,-1,39,Under 10 hours,,No education, ,,,,,,,,,,Pontoon,,22,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Boating/relaxation,,-1,HARRIS MFG CORP,,HAMP6487C020,,,1,70,,,,2020,,,7,0,,,,0,1500.0,,,,,,0.0,0.0
FL-2023-0204,1,FL4764TE,Collision with fixed object,,,,Operator inexperience,,,,,,,,-1,34,Under 10 hours,,State, ,,,,,,0,,,,Pontoon,,22,Outboard,,Aluminum,,Gas,Propeller,Cruising,,Boating/relaxation,,-1,FLOTE-BOTE HARRIS MF,,HAMP2982A222,,,1,90,,,,2022,,,6,0,,,,0,2800.0,,,,,,0.0,0.0
FL-2023-0205,1,FL0091MB,Collision with fixed object,,,,Operator inattention,,,,,,,,0,43,10 to 100 hours,,No education, ,,,,,,0,,,,Open motorboat,,19,Outboard,,Fiberglass,,Gas,Propeller,Cruising,,Boating/relaxation,,0,SEA RAY BOATS INC,,SERR3763A999,,,1,150,,,,1999,,,1,0,,,,0,0.0,,2250.0,,,,0.0,0.0
FL-2023-0206,1,FL4880PX,Collision with recreational vessel,,,,Improper lookout,,,,,,,,-1,28,Under 10 hours,,State,Y,,,,,,0,,,,Personal watercraft,,10,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,-1,YAMAHA MOTOR CORP US,,YAMA1792K415,,,1,100,,,,2015,,,1,0,,,,0,800.0,,,,,,0.0,0.0
FL-2023-0206,2,FL4881PX,Vessel struck by another vessel,Person struck by vessel,,,None; not at fault,,,,,,,,-1,25,Under 10 hours,,State, ,N,,,,,0,,,,Personal watercraft,,10,Inboard,,Fiberglass,,Gas,Water jet,Cruising,,Boating/relaxation,,-1,YAMAHA MOTOR CORP US,,YAMA2362L415,,,1,100,,,,2015,,,1,0,,,,0,950.0,,,,,,0.0,1.0
FL-2023-0207,1,LA5907FX,Collision with recreational vessel,,,,Improper lookout,,,,,,,,-1,49,101 to 500 hours,,Unknown, ,,,,,,0,,,,Open motorboat,,33,Sterndrive,,Fiberglass,,Gas,Propeller,Changing speed,,Boating/relaxation,,0,SCARAB,,WELDWA34L899,,,2,900,,,,1999,,,5,0,,,,0,2000.0,,,,,,0.0,1.0
FL-2023-0207,2,TX3077KW,Vessel struck by another vessel,Flooding/swamping,Sinking,,Improper lookout,,,,,,,,-1,57,101 to 500 hours,,Unknown, ,,,,,,0,,,,Open motorboat,,37,Sterndrive,,Fiberglass,,Gas,Propeller,Changing speed,,Boating/relaxation,,0,FORMULA,,TNRD7889H899,,COW BELL,2,1050,,,,2004,,,4,0,,,,0,10000.0,,,,,,0.0,0.0
FL-2023-0208,1,FL1717TL,Collision with recreational vessel,,,,Improper lookout,Navigation rules violation,,,,,,,-1,23,10 to 100 hours,,State,Y,,,,,,,,,,Personal watercraft,,11,Inboard,,Fiberglass,,Gas,Water jet,Changing direction,,Boating/relaxation,,-1,YAMAHA MOTOR CORP US,,YAMA2572J223,,,1,90,,,,2023,,,1,0,,,,0,3000.0,,,,,,0.0,0.0
